#timestamp x y z qx qy qz qw id
1768380825.477826 19.921961 37.842934 6.330016 -0.761355 0.064777 -0.198415 0.613819 387
1768380825.544363 19.990171 38.041145 6.348893 -0.761461 0.064290 -0.198314 0.613771 388
1768380825.610898 20.047886 38.208710 6.364076 -0.761313 0.063760 -0.198591 0.613921 389
1768380825.677433 20.104946 38.400204 6.383938 -0.762284 0.063741 -0.198771 0.612659 390
1768380825.744000 20.171709 38.591221 6.404622 -0.762845 0.063369 -0.197709 0.612342 391
1768380825.810565 20.233849 38.767204 6.422206 -0.763111 0.063600 -0.196222 0.612466 392
1768380825.877128 20.303808 38.962219 6.446460 -0.763544 0.064127 -0.194451 0.612435 393
1768380825.943688 20.375484 39.145523 6.462990 -0.763164 0.064044 -0.192966 0.613386 394
1768380826.010246 20.432030 39.342598 6.487140 -0.763759 0.063623 -0.193202 0.612616 395
1768380826.076801 20.496759 39.520893 6.505816 -0.763374 0.062164 -0.193542 0.613137 396
1768380826.143353 20.545671 39.715042 6.514977 -0.763698 0.061100 -0.195397 0.612252 397
1768380826.209903 20.606382 39.901119 6.544991 -0.764070 0.059642 -0.195441 0.611917 398
1768380826.276450 20.662859 40.090401 6.556901 -0.763727 0.058611 -0.196445 0.612124 399
1768380826.342994 20.722967 40.281757 6.569499 -0.764098 0.057810 -0.196856 0.611605 400
1768380826.409536 20.780376 40.460861 6.600128 -0.765025 0.058274 -0.195240 0.610918 401
1768380826.476076 20.849443 40.643810 6.619833 -0.764876 0.058564 -0.193546 0.611616 402
1768380826.542613 20.911785 40.831432 6.641315 -0.765015 0.059371 -0.192070 0.611831 403
1768380826.609147 20.973068 41.014954 6.659322 -0.765014 0.059119 -0.191497 0.612035 404
1768380826.675681 21.027750 41.200989 6.678413 -0.765107 0.058239 -0.191310 0.612062 405
1768380826.742249 21.080355 41.377003 6.698003 -0.764903 0.057307 -0.190921 0.612526 406
1768380826.808815 21.144060 41.565105 6.713163 -0.764620 0.056769 -0.190173 0.613162 407
1768380826.875378 21.201887 41.753437 6.728894 -0.764545 0.056983 -0.188940 0.613617 408
1768380826.941938 21.262800 41.932438 6.751399 -0.764611 0.056183 -0.187985 0.613902 409
1768380827.008496 21.316406 42.108871 6.768736 -0.764934 0.056294 -0.187228 0.613720 410
1768380827.075051 21.368237 42.273373 6.793770 -0.765067 0.055582 -0.186727 0.613772 411
1768380827.141604 21.414970 42.465939 6.804243 -0.764958 0.054930 -0.188312 0.613483 412
1768380827.208154 21.468723 42.654560 6.825489 -0.765273 0.053524 -0.188483 0.613162 413
1768380827.274702 21.514793 42.832279 6.838135 -0.765191 0.052740 -0.188887 0.613207 414
1768380827.341247 21.563892 43.022091 6.859354 -0.765763 0.052056 -0.188267 0.612742 415
1768380827.407789 21.602106 43.176773 6.882600 -0.765403 0.051443 -0.187482 0.613484 416
1768380827.474329 21.657547 43.364853 6.886351 -0.764982 0.051171 -0.186235 0.614411 417
1768380827.540866 21.717073 43.558151 6.907771 -0.766254 0.050839 -0.184157 0.613478 418
1768380827.607401 21.776354 43.738979 6.930787 -0.766667 0.050470 -0.182654 0.613443 419
1768380827.673934 21.824018 43.921673 6.947619 -0.766550 0.049985 -0.182505 0.613673 420
1768380827.740502 21.872467 44.111217 6.956946 -0.766861 0.048206 -0.183294 0.613191 421
1768380827.807067 21.921938 44.306038 6.976110 -0.767121 0.046389 -0.183963 0.612805 422
1768380827.873629 21.967411 44.495495 6.990437 -0.767218 0.044696 -0.184946 0.612515 423
1768380827.940189 22.015799 44.685272 7.005314 -0.767473 0.043867 -0.184936 0.612258 424
1768380828.006746 22.065729 44.864151 7.027538 -0.767862 0.043951 -0.183312 0.612252 425
1768380828.073300 22.123354 45.055916 7.044663 -0.768087 0.042803 -0.182450 0.612309 426
1768380828.139852 22.175301 45.251053 7.063035 -0.768433 0.041878 -0.182567 0.611904 427
1768380828.206402 22.225765 45.441319 7.079535 -0.768098 0.040964 -0.182598 0.612377 428
